scenario	arm_set	metabolite_id	exchange_id	pairs	unanimous_ties	matched_supported	independent_supported	unanimous_positive	unanimous_negative	opposing_nonzero_signs	mixed_ties_one_direction	point_unanimous_nontied	point_unanimous_nontied_coverage	unanimous_ties_coverage	matched_supported_coverage	independent_supported_coverage
primary	five_power	core_006	EX_4abut_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_016	EX_ala__L_e	1078	128	461	415	212	249	221	268	461	0.42764378478664195	0.11873840445269017	0.42764378478664195	0.3849721706864564
primary	five_power	core_018	EX_anth_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_024	EX_cala_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_026	EX_chol_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_027	EX_cholp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_028	EX_cit_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_030	EX_cmp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_032	EX_crn_e	1078	859	0	0	0	0	7	212	0	0.0	0.7968460111317254	0.0	0.0
primary	five_power	core_035	EX_cytd_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_039	EX_dhap_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_041	EX_duri_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_044	EX_fum_e	1078	10	497	319	237	261	397	173	498	0.4619666048237477	0.00927643784786642	0.461038961038961	0.29591836734693877
primary	five_power	core_049	EX_glcur_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_050	EX_gln__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_051	EX_glu__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_052	EX_gly_e	1078	105	492	432	272	221	234	246	493	0.45732838589981445	0.09740259740259741	0.45640074211502785	0.4007421150278293
primary	five_power	core_053	EX_glyald_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_056	EX_glyc3p_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_062	EX_hom__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_063	EX_hxan_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_064	EX_icit_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_067	EX_ins_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_069	EX_L2aadp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_070	EX_lac__L_e	1078	4	588	435	328	262	375	109	590	0.5473098330241187	0.0037105751391465678	0.5454545454545454	0.4035250463821892
primary	five_power	core_072	EX_leu__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_073	EX_Lkynr_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
