panel	arm	metabolite_id	eligible_pairs	point_C	interval_C
primary	magnitude_g0.50	core_006	45	0.5	0.5
primary	magnitude_g0.50	core_016	50	0.33	0.33
primary	magnitude_g0.50	core_018	54	0.5	0.5
primary	magnitude_g0.50	core_024	53	0.5	0.5
primary	magnitude_g0.50	core_026	47	0.5	0.5
primary	magnitude_g0.50	core_027	49	0.5	0.5
primary	magnitude_g0.50	core_028	49	0.46938775510204084	0.46938775510204084
primary	magnitude_g0.50	core_030	45	0.5	0.5
primary	magnitude_g0.50	core_032	50	0.5	0.5
primary	magnitude_g0.50	core_035	50	0.5	0.5
primary	magnitude_g0.50	core_039	50	0.5	0.5
primary	magnitude_g0.50	core_041	48	0.5	0.5
primary	magnitude_g0.50	core_044	46	0.4673913043478261	0.4673913043478261
primary	magnitude_g0.50	core_049	41	0.5	0.5
primary	magnitude_g0.50	core_050	53	0.6132075471698113	0.6132075471698113
primary	magnitude_g0.50	core_051	46	0.7282608695652174	0.7282608695652174
primary	magnitude_g0.50	core_052	45	0.34444444444444444	0.34444444444444444
primary	magnitude_g0.50	core_053	45	0.5	0.5
primary	magnitude_g0.50	core_056	44	0.5	0.5
primary	magnitude_g0.50	core_062	50	0.5	0.5
primary	magnitude_g0.50	core_063	52	0.5	0.5
primary	magnitude_g0.50	core_064	37	0.5	0.5
primary	magnitude_g0.50	core_067	40	0.5	0.5
primary	magnitude_g0.50	core_069	44	0.5	0.5
primary	magnitude_g0.50	core_070	51	0.4117647058823529	0.4117647058823529
primary	magnitude_g0.50	core_072	44	0.5	0.5
primary	magnitude_g0.50	core_073	49	0.5	0.5
primary	magnitude_g0.50	core_074	45	0.5	0.5
primary	magnitude_g0.50	core_075	49	0.3979591836734694	0.3979591836734694
primary	magnitude_g0.50	core_076	40	0.5	0.5
primary	magnitude_g0.50	core_077	40	0.5	0.5
primary	magnitude_g0.50	core_078	49	0.5	0.5
primary	magnitude_g0.50	core_080	51	0.5	0.5
primary	magnitude_g0.50	core_081	50	0.5	0.5
primary	magnitude_g0.50	core_085	44	0.5	0.5
primary	magnitude_g0.50	core_088	36	0.5	0.5
primary	magnitude_g0.50	core_091	41	0.5	0.5
primary	magnitude_g0.50	core_092	53	0.5	0.5
primary	magnitude_g0.50	core_094	45	0.5	0.5
primary	magnitude_g0.50	core_095	48	0.5	0.5
primary	magnitude_g0.50	core_096	47	0.574468085106383	0.574468085106383
primary	magnitude_g0.50	core_098	48	0.5	0.5
primary	magnitude_g0.50	core_099	37	0.5	0.5
primary	magnitude_g0.50	core_102	49	0.5	0.5
primary	magnitude_g0.50	core_103	52	0.5	0.5
primary	magnitude_g0.50	core_104	50	0.5	0.5
primary	magnitude_g0.50	core_110	46	0.5	0.5
primary	magnitude_g0.50	core_111	54	0.5	0.5
primary	magnitude_g0.50	core_112	44	0.5	0.5
