reaction_id	gpr	supported_all_expression_contexts	missing_context_count	reason
24_25VITD3Hm	1591_AT1	True	0	complete measured GPR alternative
13DAMPPOX	8639_AT1 or 26_AT1 or 314_AT2 or 314_AT1	True	0	complete measured GPR alternative
25VITD2Hm	1594_AT1	True	0	complete measured GPR alternative
2AMACHYD	10993_AT1	True	0	complete measured GPR alternative
2AMACSULT	6818_AT1	False	59	no complete measured alternative in every retained context
2AMADPTm	89874_AT1	True	0	complete measured GPR alternative
2OXOADOXm	(4967_AT2 and 1738_AT1 and 8050_AT1 and 1743_AT1) or (4967_AT1 and 1738_AT1 and 8050_AT1 and 1743_AT1)	True	0	complete measured GPR alternative
2OXOADPTm	89874_AT1	True	0	complete measured GPR alternative
34DHPHEt	117247_AT1	True	0	complete measured GPR alternative
34DHXMANDACOX	221_AT1 or 218_AT1 or 220_AT1	True	0	complete measured GPR alternative
3AIBtm	18_AT1 or 18_AT2	True	0	complete measured GPR alternative
3HAO	23498_AT1	True	0	complete measured GPR alternative
3MOXTYROX	4128_AT1 or 4129_AT1	True	0	complete measured GPR alternative
42A12BOOX	4129_AT1 or 8639_AT1 or 26_AT1 or 314_AT2 or 314_AT1 or 4128_AT1	True	0	complete measured GPR alternative
4HOXPACDOX_NADP	222_AT1 or 220_AT1 or 221_AT1 or 218_AT1	True	0	complete measured GPR alternative
4NPHSULT	6799_AT1 or 6817_AT3 or 6799_AT2 or 6818_AT2 or 6817_AT2 or 6818_AT1 or 6817_AT1 or 6817_AT4 or 6818_AT3 or 6817_AT5	True	0	complete measured GPR alternative
5ADTSTSTERONESULT	6822_AT1 or 6818_AT1	True	0	complete measured GPR alternative
5FTHFt2_1	6573_AT1 or 6573_AT2	True	0	complete measured GPR alternative
5HOXINOXDA	4128_AT1 or 4129_AT1	True	0	complete measured GPR alternative
A4GALTc	53947_AT1	True	0	complete measured GPR alternative
A4GALTg	53947_AT1	True	0	complete measured GPR alternative
A4GNT2g	51146_AT1	True	0	complete measured GPR alternative
ABO1g	28_AT1	True	0	complete measured GPR alternative
ABO4g	28_AT1	True	0	complete measured GPR alternative
ABO5g	28_AT1	True	0	complete measured GPR alternative
ABO6g	28_AT1	True	0	complete measured GPR alternative
ABO7g	28_AT1	True	0	complete measured GPR alternative
ABO9g	28_AT1	True	0	complete measured GPR alternative
ABTArm	18_AT1 or 18_AT2	True	0	complete measured GPR alternative
ABUTt2rL	206358_AT1	True	0	complete measured GPR alternative
ACACT10m	38_AT1 or 3032_AT1 or 10449_AT1	True	0	complete measured GPR alternative
ACACT5p	30_AT1	True	0	complete measured GPR alternative
ACACT8p	30_AT1	True	0	complete measured GPR alternative
ACACT9p	30_AT1	True	0	complete measured GPR alternative
ACCOALm	84532_AT1 or 79611_AT1	True	0	complete measured GPR alternative
ACCOAtr	9197_AT1	True	0	complete measured GPR alternative
ACETONEt2	6566_AT1 or 9123_AT1 or 9194_AT1	True	0	complete measured GPR alternative
ACGAMK	55577_AT1	True	0	complete measured GPR alternative
ACGAMPM	5238_AT1	True	0	complete measured GPR alternative
ACHVESSEC_1	6572_AT1	True	0	complete measured GPR alternative
ACNAMlt	26503_AT1	True	0	complete measured GPR alternative
ACOAD10m	36_AT1 or 34_AT1	True	0	complete measured GPR alternative
ACOAD8m	3712_AT1	True	0	complete measured GPR alternative
ACOAD9m	34_AT1 or 27034_AT1	True	0	complete measured GPR alternative
ACOAO7p	51_AT1 or 51_AT2	True	0	complete measured GPR alternative
ACODA	95_AT1	False	59	no complete measured alternative in every retained context
ACONTm	50_AT1 or 48_AT1	True	0	complete measured GPR alternative
ACP1_FMN	52_AT1 or 52_AT3 or 52_AT2 or 55_AT1 or 51205_AT1 or 54_AT1	True	0	complete measured GPR alternative
ACS2	55902_AT1 or 65985_AT1 or 55902_AT2	True	0	complete measured GPR alternative
ACSRTNMT	438_AT1	True	0	complete measured GPR alternative
ADEt	3177_AT1	True	0	complete measured GPR alternative
ADK3	26289_AT1 or 26289_AT2	True	0	complete measured GPR alternative
ADK3m	50808_AT1	True	0	complete measured GPR alternative
ADKd	26289_AT2 or 26289_AT1	True	0	complete measured GPR alternative
ADMDC	262_AT1	True	0	complete measured GPR alternative
ADNt4	9154_AT2 or 9154_AT1 or 64078_AT1 or 9153_AT1	True	0	complete measured GPR alternative
ADNtl	55315_AT1	True	0	complete measured GPR alternative
ADNtm	2030_AT1	True	0	complete measured GPR alternative
ADPMAN	11164_AT1	False	59	no complete measured alternative in every retained context
ADPRIBt	952_AT1	True	0	complete measured GPR alternative
ADRNCRNt	788_AT1 or 788_AT1	True	0	complete measured GPR alternative
ADSL2r	158_AT1 or 158_AT2	True	0	complete measured GPR alternative
AG13T16g	79369_AT1 or 10678_AT1 or 11041_AT1 or 146712_AT1 or 374907_AT1 or 93010_AT1 or 374907_AT2 or 10678_AT2 or 10331_AT1	True	0	complete measured GPR alternative
AG13T18g	10678_AT2 or 11041_AT1 or 10678_AT1 or 374907_AT2 or 93010_AT1 or 374907_AT1 or 146712_AT1 or 79369_AT1 or 10331_AT1	True	0	complete measured GPR alternative
AG13T2g	79369_AT1 or 374907_AT1 or 11041_AT1 or 146712_AT1 or 374907_AT2 or 93010_AT1 or 10331_AT1 or 10678_AT1 or 10678_AT2	True	0	complete measured GPR alternative
AGMTm	79814_AT1	True	0	complete measured GPR alternative
AGTim	64902_AT1 or 64850_AT1	True	0	complete measured GPR alternative
AHANDROSTANGLCte	4363_AT1	True	0	complete measured GPR alternative
AHEXASE2ly	3073_AT1 or 3074_AT1 or (3073_AT1 and 3074_AT1)	True	0	complete measured GPR alternative
AIRCr	10606_AT1	True	0	complete measured GPR alternative
AKGMALtm	8402_AT1 or 1468_AT1	True	0	complete measured GPR alternative
AKGt4_3	64849_AT1 or 64849_AT2	True	0	complete measured GPR alternative
AKR1C41	1109_AT1	True	0	complete measured GPR alternative
AKR1D	6718_AT1	True	0	complete measured GPR alternative
ALAGLYexR	56301_AT1 and 6520_AT1	True	0	complete measured GPR alternative
ALASERNaEx	6509_AT1 or 6510_AT1	True	0	complete measured GPR alternative
ALASm	212_AT1 or 23464_AT1 or 211_AT2 or 211_AT1	True	0	complete measured GPR alternative
ALATHRNaEx	6509_AT1 or 6510_AT1	True	0	complete measured GPR alternative
ALCD21_D	127_AT1 or 284273_AT2 or 125_AT1 or 128_AT1 or 131_AT1 or (125_AT1 and 124_AT1) or 124_AT1 or 130_AT1 or 137872_AT1 or (125_AT1 and 126_AT1) or (126_AT1 and 124_AT1) or 284273_AT1 or 126_AT1	True	0	complete measured GPR alternative
